month,dataset,dataset_status,rows,files,min_interval,max_interval,blocker
2025-08,DISPATCHREGIONSUM,MISSING,0,,,,
2025-08,DISPATCHINTERCONNECTORRES,MISSING,0,,,,
2025-08,DISPATCHCONSTRAINT,MISSING,0,,,,
2025-08,DISPATCH_UNIT_SCADA,MISSING,0,,,,
2025-08,GENERATOR_OUTAGES,BLOCKED_EXTERNAL,0,0.0,,,External outage source not ingested yet
2025-08,UNIT_COMMITMENT,DERIVED_PARTIAL,0,0.0,,,Derived proxy from SCADA only (no unit technology register)
2025-08,RENEWABLE_GENERATION,DERIVED_PARTIAL,0,0.0,,,No DUID technology map in repo snapshot
2025-08,WEATHER,BLOCKED_EXTERNAL,0,0.0,,,No BOM weather ingest configured
2025-08,FCAS,BLOCKED_EXTERNAL,0,0.0,,,No FCAS dataset ingest in current snapshot
2025-09,DISPATCHPRICE,MISSING,0,,,,
2025-09,DISPATCHREGIONSUM,MISSING,0,,,,
2025-09,DISPATCHINTERCONNECTORRES,MISSING,0,,,,
2025-09,DISPATCHCONSTRAINT,MISSING,0,,,,
2025-09,DISPATCH_UNIT_SCADA,MISSING,0,,,,
2025-09,GENERATOR_OUTAGES,BLOCKED_EXTERNAL,0,0.0,,,External outage source not ingested yet
2025-09,UNIT_COMMITMENT,DERIVED_PARTIAL,0,0.0,,,Derived proxy from SCADA only (no unit technology register)
2025-09,RENEWABLE_GENERATION,DERIVED_PARTIAL,0,0.0,,,No DUID technology map in repo snapshot
2025-09,WEATHER,BLOCKED_EXTERNAL,0,0.0,,,No BOM weather ingest configured
2025-09,FCAS,BLOCKED_EXTERNAL,0,0.0,,,No FCAS dataset ingest in current snapshot
2025-10,DISPATCHPRICE,MISSING,0,,,,
2025-10,DISPATCHREGIONSUM,MISSING,0,,,,
2025-10,DISPATCHINTERCONNECTORRES,MISSING,0,,,,
2025-10,DISPATCHCONSTRAINT,MISSING,0,,,,
2025-10,DISPATCH_UNIT_SCADA,MISSING,0,,,,
2025-10,GENERATOR_OUTAGES,BLOCKED_EXTERNAL,0,0.0,,,External outage source not ingested yet
2025-10,UNIT_COMMITMENT,DERIVED_PARTIAL,0,0.0,,,Derived proxy from SCADA only (no unit technology register)
2025-10,RENEWABLE_GENERATION,DERIVED_PARTIAL,0,0.0,,,No DUID technology map in repo snapshot
2025-10,WEATHER,BLOCKED_EXTERNAL,0,0.0,,,No BOM weather ingest configured
2025-10,FCAS,BLOCKED_EXTERNAL,0,0.0,,,No FCAS dataset ingest in current snapshot
2025-11,DISPATCHPRICE,MISSING,0,,,,
2025-11,DISPATCHREGIONSUM,MISSING,0,,,,
